code,code_level,food_category,food_group,major_food_code,minor_food_code,units,rse_indicator,percent_change_2021_22,percent_change_2019_20,significance,trend_2019_20,reliability_3yr_se,year,expenditure
16301,3,,,Fresh brussels sprouts,,p,High,-8.373157903,-11.6402154,,,5.414177696,1974,0.839161069
16401,3,,,Fresh cauliflower,,p,Medium,6.841517191,0.776111806,,,2.547758739,1974,1.467875719
167,3,,,Leafy salads fresh,,p,Low,1.351047967,5.682745103,,,2.148092465,1974,1.368390833
16701,4,,,,Lettuce and leafy salads,p,Low,5.660826922,7.316026992,,,2.767933318,1974,1.368390833
16702,4,,,,Prepared lettuce salads,p,Medium,-1.057763356,4.731366456,,,2.919646267,1974,
168,3,,,Fresh peas,,p,High,5.539225794,-17.05258491,,,5.98655507,1974,0.145783536
169,3,,,Fresh beans,,p,Medium,-7.26059236,-11.20499527,,,3.752347206,1974,0.327481703
171,3,,,Other fresh green vegetables,,p,Medium,10.48794908,0.763557073,,,4.368788542,1974,0.091365564
172183,2,,Other fresh vegetables,,,p,Low,4.065664395,-0.242713157,,,1.443961972,1974,10.08670376
172,3,,,Fresh carrots,,p,Low,3.400578923,-14.44263321,yes,DOWN,2.35569531,1974,1.050359121
173,3,,,Fresh turnips and swede,,p,High,15.63314939,-8.079466618,,,6.617192902,1974,0.389544575
174,3,,,Other fresh root vegetables,,p,Medium,-6.458990954,-7.560910213,,,4.243778469,1974,0.339123973
175,3,,,"Fresh onions, leeks and shallots",,p,Low,16.25798263,3.848997053,,,2.230145879,1974,1.480109826
176,3,,,Fresh cucumbers,,p,Low,25.86384448,11.44826395,,,2.448347734,1974,0.83344037
177,3,,,Fresh mushrooms,,p,Low,1.215232997,-3.200954465,,,2.223908501,1974,1.037788975
178,3,,,Fresh tomatoes,,p,Low,-0.075160537,0.545762149,,,2.094713021,1974,4.346890971
183,3,,,Miscellaneous fresh vegtables,,p,Low,1.546729372,0.622749299,,,1.958375422,1974,0.609445945
18301,4,,,,"Fresh vegetable stewpack, stirfry pack etc.",p,Medium,-13.24079003,-20.06795004,yes,DOWN,4.981274792,1974,0.100508694
18302,4,,,,Fresh stem vegetables,p,Medium,-6.668710374,1.465981683,,,3.4783801,1974,0.136661708
18303,4,,,,"Fresh marrow, courgettes, aubergine, pumpkin and other vegetables",p,Low,3.000800814,0.615598061,,,2.35626687,1974,0.293604904
18304,4,,,,Fresh herbs,p,Medium,25.37191494,23.96732311,yes,,3.488752393,1974,0.078670639
cat702,2,,Processed vegetables excluding processed potatoes,,,p,Low,7.236623576,7.818212418,,,1.814768494,1974,11.19291116
184,3,,,"Tomatoes, canned or bottled",,p,High,29.51865905,15.93048061,,,4.610733792,1974,1.032555072
185,3,,,"Peas, canned",,p,High,3.925195101,-8.050491645,,,5.400679375,1974,1.800410496
188,3,,,Beans canned,,p,Medium,13.45076466,17.57747027,yes,UP,2.68526897,1974,2.84556195
18802,4,,,,Baked beans in sauce,p,Medium,7.97873785,6.391125937,,,3.010831004,1974,2.532550136
18803,4,,,,Other canned beans and pulses,p,High,25.49640389,46.81509517,yes,UP,5.145857364,1974,0.313011815
191,3,,,Other canned vegetables,,p,Medium,-0.372642753,,,,4.866696691,1974,1.130238964
192,3,,,Dried pulses other than air-dried,,p,Very High,-0.924001979,71.02833848,,,14.85289196,1974,0.49005073
195,3,,,Air-dried vegetables,,p,Very High,-12.5335883,48.24409731,,,14.0815896,1974,0.21029179
196,3,,,Vegetable juices and purees,,p,High,42.62037612,26.88358807,,,6.226791772,1974,0.14153735
19602,4,,,,Tomato puree and vegetable purees,p,High,39.85638348,34.08801068,yes,,5.784817162,1974,0.099076145
19603,4,,,,"Vegetable juices eg tomato juice, carrot juice",p,Very High,53.55811291,6.299145112,,,18.91992422,1974,0.042461205
203,3,,,"Peas, frozen",,p,Medium,15.22384319,-2.765712407,,,4.057962825,1974,1.541487934
204,3,,,"Beans, frozen",,p,Very High,107.5869435,53.21159249,,,11.66453258,1974,0.699346431
206,3,,,Ready meals and other vegetable products (inc takeaways),,p,Low,-0.715938902,1.817603756,,,2.583336525,1974,0.592608316
20601,4,,,,"Ready meals and other vegetable products, frozen or not frozen",p,Medium,3.375492242,8.913133137,,,2.588634593,1974,0.46816057
20604,4,,,,All vegetable takeaway products,p,High,-16.40644451,-22.21525644,,DOWN,6.368788993,1974,0.124447746
208,3,,,Other frozen vegetables,,p,Medium,39.09651159,,,,4.095252358,1974,0.708822131
cat810,1,Fresh and processed fruit,,,,p,Low,-6.037544928,-4.629231993,,DOWN,1.284720387,1974,21.01071248
210231,2,,Fresh fruit,,,p,Low,-6.823999764,-8.513301212,yes,DOWN,1.396493357,1974,12.28797344
210,3,,,Fresh oranges,,p,Medium,-2.296280646,8.080054343,,,4.351749622,1974,2.123477443
214,3,,,Other fresh citrus fruits,,p,Low,-5.709045398,-11.28746356,,DOWN,2.404449296,1974,1.012662556
217,3,,,Fresh apples,,p,Low,-21.92565562,-20.7654913,yes,DOWN,2.131440432,1974,4.486600724
218,3,,,Fresh pears,,p,Medium,-5.377604307,-12.38699624,,DOWN,3.751374182,1974,0.557354673
221,3,,,Fresh stone fruit,,p,Medium,-4.022610006,-12.66711542,,DOWN,2.748696937,1974,0.604601199
222,3,,,Fresh grapes,,p,Medium,-7.960521279,-6.059234431,,,2.519658848,1974,0.407571418
227,3,,,Other fresh soft fruit,,p,Low,-8.50331745,-2.552674296,,,2.235727434,1974,0.477898913
228,3,,,Fresh bananas,,p,Low,-0.651758519,-13.87635526,yes,DOWN,1.58546289,1974,2.236449194
229,3,,,Fresh melons,,p,High,-3.230518928,-9.35753912,,,4.788240051,1974,0.14598144
231,3,,,Other fresh fruit,,p,Medium,14.31646257,7.753423568,,,3.939153484,1974,0.235375876
233248,2,,Processed fruit and fruit products,,,p,Low,-4.332311124,4.763404971,,,1.811688578,1974,8.722739042
233,3,,,"Tinned peaches, pears and pineapples",,p,High,-20.24561881,-39.02816088,yes,DOWN,7.677417615,1974,2.246925145
236,3,,,All other tinned or bottled fruit,,p,Medium,-12.15861477,4.338466696,,,4.878329762,1974,2.588516952
240,3,,,Dried fruit,,p,Medium,-12.72881858,-8.167390952,,,4.640149935,1974,1.923924026
241,3,,,"Frozen strawberries, apple slices, peach halves, oranges and other frozen fruits",,p,High,-11.98538999,16.09207489,,,6.52667528,1974,0.156706592
245,3,,,"Nuts, edible seeds and peanut butter",,p,Medium,-9.971091829,-5.385812154,,,3.021992818,1974,0.764090846
24502,4,,,,Nuts and edible seeds,p,Medium,-10.31054265,-6.854691506,,,3.245544002,1974,0.664759036
24503,4,,,,Peanut butter,p,High,-7.421153159,6.880248097,,,6.347317486,1974,0.09933181
248,3,,,Pure fruit juices,,p,Low,6.634984536,21.80892724,yes,UP,2.44451883,1974,1.042575481
251263,2,Bread,,,,p,Very Low,14.23365726,2.426355703,,,1.224701283,1974,21.27932702
cat850,3,,White bread,,,p,Low,20.29783574,2.822515869,,,1.832034532,1974,16.05551714
251,4,,,"White bread, standard, unsliced",,p,High,-4.814310093,-15.02908586,,,5.693215171,1974,5.069536919
252,4,,,"White bread, standard, sliced",,p,Low,21.66382425,0.812903027,,,2.005099133,1974,10.98598022
257,4,,,"White bread, premium, sliced and unsliced",,p,High,125.0235419,11841.34175,yes,UP,13.98663694,1974,
258,4,,,"White bread, soft grain, sliced and unsliced",,p,High,-1.233164451,-17.41425451,,,8.92775639,1974,
cat851,3,,Brown and wholemeal bread,,,p,Low,5.33861493,-4.654434833,,,2.249913947,1974,1.968259627
259,4,,,"Brown bread, sliced and unsliced",,p,Medium,11.64158663,6.358414931,,,5.209143578,1974,1.596177306
260,4,,,"Wholemeal and granary bread, sliced and unsliced",,p,Medium,3.483046075,-7.690172985,,,2.486746125,1974,0.372082321
263,3,,Total other bread,,,p,Low,14.36967731,3.924347836,,,1.636139373,1974,3.25555025
26302,4,,,"Rolls - white, brown or wholemeal",,p,Low,12.32053623,0.986576943,,,2.564509442,1974,2.21377417
26303,4,,,Malt bread and fruit loaves,,p,High,0.103820387,-21.00588661,,,5.467745274,1974,0.195333015
26304,4,,,Vienna and french bread,,p,Medium,8.221779147,-16.57056616,,DOWN,4.13103118,1974,0.26044402
26305,4,,,Starch reduced bread and rolls,,p,Very High,94.64102836,63.48777069,,,12.16534125,1974,0.097666508
26308,4,,,Other breads,,p,Low,10.79271261,14.37916777,yes,,2.075350634,1974,0.325555025
26309,4,,,Sandwiches,,p,Medium,10.22736118,5.831578526,,,4.114884895,1974,0.13022201
26310,4,,,Sandwiches from takeaway,,p,High,41.94316811,1.500233401,,,8.937451142,1974,0.032555503
26311,4,,,Takeaway breads,,p,High,31.47682012,-7.856038547,,,8.202568766,1974,
26401,2,,Flour,,,p,High,-5.887913167,7.370161212,,,6.982507882,1974,2.296913331
267270,2,,"Cakes, buns and pastries",,,p,Low,0.44379877,15.34191721,yes,UP,3.035466316,1974,12.27183857
