code,code_level,food_category,food_group,major_food_code,minor_food_code,units,rse_indicator_,percentage_change_since_2021_22,percentage_change_since_2019_20,significance,trend_since_2019_20_,reliability_of_3_year_percent_relative_se,year,quantity
199,3,,,Canned potatoes,,g,Very High,15.43742381,-44.12790324,yes,DOWN,12.9859698,1974,7.881250696
200,3,,,Crisps and potato snacks,,g,Low,-2.968019061,4.6479774,,,1.799402827,1974,20.17265501
201,3,,,"Other potato products, frozen or not frozen",,g,Medium,-6.554858378,-8.388274528,,,3.05721769,1974,6.321090052
cat811,1,"Fresh and processed fruit and vegetables, excluding potatoes",,,,g,Very Low,-4.50316823,-9.7041966,yes,DOWN,1.012205074,1974,1871.573638
cat720,1,"Fresh and processed vegetables, excluding potatoes",,,,g,Very Low,-1.661070986,-7.471113607,yes,DOWN,1.223890518,1974,1140.770987
162171,2,,Fresh green vegetables,,,g,Low,-11.00742194,-7.459745561,,,2.872963008,1974,364.3980023
162,3,,,Fresh cabbages,,g,Medium,-30.37633564,-1.21542208,,,12.95752197,1974,128.5034542
163,3,,,Fresh brussels sprouts,,g,High,-7.087048902,-7.806025916,,,5.685445866,1974,54.56990907
164,3,,,Fresh cauliflower,,g,Medium,-4.974879605,-11.05155504,,DOWN,2.466045587,1974,86.83531345
167,3,,,Leafy salads fresh,,g,Low,-6.539679441,1.654100446,,,1.961905854,1974,36.19953977
16701,4,,,,Lettuce and leafy salads,g,Medium,-5.363367505,6.267462784,,,2.548946866,1974,36.19953977
16702,4,,,,Prepared lettuce salads,g,Medium,-8.900653998,-6.783569709,,,2.913646047,1974,
168,3,,,Fresh peas,,g,High,-1.003885438,-29.28368529,,DOWN,6.92934318,1974,13.23823479
169,3,,,Fresh beans,,g,Medium,-16.90681264,-31.66821487,yes,DOWN,4.793407727,1974,38.42848592
171,3,,,Other fresh green vegetables,,g,Medium,8.856039696,0.498643679,,,4.184371123,1974,6.62306512
172183,2,,Other fresh vegetables,,,g,Low,-0.961568228,-9.591725913,yes,DOWN,1.39849554,1974,404.3281704
172,3,,,Fresh carrots,,g,Low,-5.65747505,-6.822977875,,DOWN,2.10408845,1974,86.69813876
173,3,,,Fresh turnips and swede,,g,High,1.151399607,-25.55382338,yes,DOWN,5.860453618,1974,40.07117909
174,3,,,Other fresh root vegetables,,g,Medium,-9.049962235,-14.76962787,,DOWN,3.446864498,1974,24.34231011
175,3,,,"Fresh onions, leeks and shallots",,g,Medium,9.016354103,-7.406346023,,DOWN,3.029381176,1974,87.3785422
176,3,,,Fresh cucumbers,,g,Low,3.704559474,3.161787506,,,2.18879728,1974,22.45188236
177,3,,,Fresh mushrooms,,g,Low,-5.144448591,-11.90238003,yes,DOWN,2.151441757,1974,13.15060157
178,3,,,Fresh tomatoes,,g,Low,-3.105667965,-14.36832794,yes,DOWN,2.087666351,1974,105.7564727
183,3,,,Miscellaneous fresh vegtables,,g,Medium,-1.357355733,-11.16519654,,DOWN,2.567656021,1974,24.47904361
18301,4,,,,"Fresh vegetable stewpack, stirfry pack etc.",g,Medium,-20.90592,-35.50599107,yes,DOWN,5.048104776,1974,4.037038418
18302,4,,,,Fresh stem vegetables,g,Medium,-13.90823893,-11.31842116,,DOWN,2.94614524,1974,5.489162649
18303,4,,,,"Fresh marrow, courgettes, aubergine, pumpkin and other vegetables",g,Medium,5.245600131,-5.414264429,,,3.713244371,1974,11.79295278
18304,4,,,,Fresh herbs,g,Medium,32.81117229,1.984757924,,,4.080873594,1974,3.159889762
cat702,2,Processed vegetables excluding processed potatoes,,,,g,Low,2.291490361,-4.083350348,,DOWN,1.618650997,1974,372.0448145
184,3,,,"Tomatoes, canned or bottled",,g,Medium,13.51879145,-7.637033171,,,3.397534858,1974,31.34959686
185,3,,,"Peas, canned",,g,High,-9.799229664,-21.20511807,,DOWN,5.188595073,1974,87.96154716
188,3,,,Beans canned,,g,Medium,-5.419783545,-9.057719474,,,2.697919895,1974,112.9014051
18802,4,,,,Baked beans in sauce,g,Medium,-16.58159978,-23.17629278,yes,DOWN,2.988944911,1974,100.4822505
18803,4,,,,Other canned beans and pulses,g,High,24.97964189,36.56608562,yes,,5.163214937,1974,12.41915456
191,3,,,Other canned vegetables,,g,Medium,-8.345549199,,,,4.881551278,1974,42.67997291
192,3,,,Dried pulses other than air-dried,,g,Very High,6.497869331,93.73627634,,,17.11641822,1974,10.43588213
195,3,,,Air-dried vegetables,,g,Very High,-19.64716316,4.170742334,,,16.47708254,1974,1.189621455
196,3,,,Vegetable juices and purees,,ml,High,22.48579369,-3.933410372,,,6.787061834,1974,4.408767855
19602,4,,,,Tomato puree and vegetable purees,ml,High,14.95157801,17.0406823,,,6.407808165,1974,3.086137499
19603,4,,,,"Vegetable juices eg tomato juice, carrot juice",ml,Very High,48.5053783,-35.04847735,,,15.81801196,1974,1.322630357
203,3,,,"Peas, frozen",,g,Medium,8.498475353,0.993569796,,,3.744345875,1974,42.27906842
204,3,,,"Beans, frozen",,g,Very High,64.23732735,17.07088585,,,10.46442376,1974,15.08975973
206,3,,,Ready meals and other vegetable products (inc takeaways),,g,Low,-4.526217458,-4.756294951,,,2.213669864,1974,9.545962724
20601,4,,,,"Ready meals and other vegetable products, frozen or not frozen",g,Low,-4.055444697,0.032163931,,,2.324334118,1974,7.541310552
20604,4,,,,All vegetable takeaway products,g,High,-10.45712696,-42.14269137,yes,DOWN,5.463813689,1974,2.004652172
208,3,,,Other frozen vegetables,,g,Medium,19.03864784,,,,4.003870368,1974,14.2032302
cat810,1,Fresh and processed fruit,,,,g,Very Low,-7.492754021,-12.07694715,yes,DOWN,1.19520673,1974,730.8026509
210231,2,,Fresh fruit,,,g,Low,-10.53794168,-16.6534052,yes,DOWN,1.305634655,1974,514.8459803
210,3,,,Fresh oranges,,g,High,-0.904407545,1.396441578,,,4.649987043,1974,95.02034267
214,3,,,Other fresh citrus fruits,,g,Low,-4.814630329,-14.17609401,yes,DOWN,2.404269907,1974,40.84794509
217,3,,,Fresh apples,,g,Medium,-20.21610134,-24.31019833,yes,DOWN,2.366229697,1974,207.1632059
218,3,,,Fresh pears,,g,Medium,-8.738773441,-28.88563252,yes,DOWN,3.643371693,1974,22.08731581
221,3,,,Fresh stone fruit,,g,Medium,-7.242668702,-22.10230798,yes,DOWN,2.665555759,1974,16.24231345
222,3,,,Fresh grapes,,g,Medium,-14.76799832,-15.35380079,yes,DOWN,2.450474232,1974,8.967597896
227,3,,,Other fresh soft fruit,,g,Low,-16.78281228,-12.94756628,yes,DOWN,2.296605488,1974,16.01840497
228,3,,,Fresh bananas,,g,Low,-3.23580751,-13.61373595,yes,DOWN,1.550990073,1974,83.54909631
229,3,,,Fresh melons,,g,High,-28.10645489,-22.90298122,,,5.292122964,1974,5.131243889
231,3,,,Other fresh fruit,,g,Medium,-4.698701123,-15.07179897,,DOWN,3.729675388,1974,19.81851429
233248,2,,Processed fruit and fruit products,,,g,Low,-0.50348851,-0.84063295,,,1.891610991,1974,215.9566706
233,3,,,"Tinned peaches, pears and pineapples",,g,High,-20.31209011,-46.14669754,yes,DOWN,7.700494265,1974,66.70603937
236,3,,,All other tinned or bottled fruit,,g,Medium,-16.84416809,-7.288855212,,,5.000267931,1974,72.43721887
240,3,,,Dried fruit,,g,Medium,-16.65377182,-15.36946951,,,4.445643128,1974,31.8176541
241,3,,,"Frozen strawberries, apple slices, peach halves, oranges and other frozen fruits",,g,High,-26.7107267,-4.807815131,,,7.28146559,1974,2.285916246
245,3,,,"Nuts, edible seeds and peanut butter",,g,Medium,-14.26740905,-6.817692561,,,2.786302597,1974,8.824159311
24502,4,,,,Nuts and edible seeds,g,Medium,-12.29010121,-7.999450346,,,3.077131,1974,7.677018601
24503,4,,,,Peanut butter,g,High,-22.22544682,-1.04866655,,,5.602997516,1974,1.14714071
248,3,,,Pure fruit juices [note 8],,ml,Low,6.252448343,3.972775379,,,2.422254359,1974,33.88568274
251263,2,,Bread,,,g,Very Low,-0.004217105,-11.29556088,yes,DOWN,0.985146813,1974,1018.509039
cat850,3,White bread,,,,g,Low,4.483227349,-7.181903534,,DOWN,1.727953421,1974,860.0745902
251,4,,,"White bread, standard, unsliced",,g,High,-19.49402661,-32.58859212,yes,DOWN,5.434535016,1974,251.4574413
252,4,,,"White bread, standard, sliced",,g,Low,5.432680544,-7.311496006,,,1.895192781,1974,608.6171489
257,4,,,"White bread, premium, sliced and unsliced",,g,High,109.9636058,7569.65752,yes,UP,14.09351428,1974,
258,4,,,"White bread, soft grain, sliced and unsliced",,g,High,-18.56973005,-34.58514539,yes,,8.509462902,1974,
